ODE,Epsilon,N,Mesh,Method,Max Error
ODE 3,1e-05,16,uniform,forward,1.000365825779279
ODE 3,1e-05,16,uniform,backward,1.0003658257792791
ODE 3,1e-05,16,uniform,upwind,0.0012751049875262825
ODE 3,1e-05,16,shishkin,central,0.9948330621842099
ODE 3,1e-05,16,shishkin,forward,1.000179966694065
ODE 3,1e-05,16,shishkin,backward,1.0248077933757203
ODE 3,1e-05,16,shishkin,upwind,0.05290075707778569
ODE 3,1e-05,16,bakhvalov,central,0.995539154552405
ODE 3,1e-05,16,bakhvalov,forward,1.0001799509502844
ODE 3,1e-05,16,bakhvalov,backward,0.9997800033121506
ODE 3,1e-05,16,bakhvalov,upwind,0.06432500209468345
ODE 3,1e-05,32,uniform,central,5.895898685789995
ODE 3,1e-05,32,uniform,forward,1.0006830996905605
ODE 3,1e-05,32,uniform,backward,1.0006830996905605
ODE 3,1e-05,32,uniform,upwind,0.0050426327643077196
ODE 3,1e-05,32,shishkin,central,0.9748192994398338
ODE 3,1e-05,32,shishkin,forward,1.000326789829354
ODE 3,1e-05,32,shishkin,backward,1.0003657304451519
ODE 3,1e-05,32,shishkin,upwind,0.03500278303507309
ODE 3,1e-05,32,bakhvalov,central,0.97663097943932
ODE 3,1e-05,32,bakhvalov,forward,1.00032676568248
ODE 3,1e-05,32,bakhvalov,backward,0.9988451603453997
ODE 3,1e-05,32,bakhvalov,upwind,0.033656313735846044
ODE 3,1e-05,64,uniform,central,1.1838018045078356
ODE 3,1e-05,64,uniform,forward,1.0013229801008432
ODE 3,1e-05,64,uniform,backward,1.0013229801008434
ODE 3,1e-05,64,uniform,upwind,0.019299120685677074
ODE 3,1e-05,64,shishkin,central,0.8885479206293099
ODE 3,1e-05,64,shishkin,forward,1.0006433382933566
ODE 3,1e-05,64,shishkin,backward,1.0829217415093952
ODE 3,1e-05,64,shishkin,upwind,0.01380606385102634
ODE 3,1e-05,64,bakhvalov,central,0.8930265014239357
ODE 3,1e-05,64,bakhvalov,forward,1.0006432687344329
ODE 3,1e-05,64,bakhvalov,backward,1.0007759679254176
ODE 3,1e-05,64,bakhvalov,upwind,0.018018498308802477
ODE 3,1e-05,128,uniform,central,0.24606037815694648
ODE 3,1e-05,128,uniform,forward,1.0026073062163552
ODE 3,1e-05,128,uniform,backward,1.002607306216354
ODE 3,1e-05,128,uniform,upwind,0.05922991391259946
ODE 3,1e-05,128,shishkin,central,0.6091648537236476
ODE 3,1e-05,128,shishkin,forward,1.0012831615509428
ODE 3,1e-05,128,shishkin,backward,1.001323210163885
ODE 3,1e-05,128,shishkin,upwind,0.01881498754389624
ODE 3,1e-05,128,bakhvalov,central,0.6130167241580047
ODE 3,1e-05,128,bakhvalov,forward,1.0012829825938396
ODE 3,1e-05,128,bakhvalov,backward,1.0013555321643777
ODE 3,1e-05,128,bakhvalov,upwind,0.018964370156777887
ODE 3,1e-05,256,uniform,central,0.05724368905688948
ODE 3,1e-05,256,uniform,forward,1.005186868425462
ODE 3,1e-05,256,uniform,backward,1.0051868684254632
ODE 3,1e-05,256,uniform,upwind,0.061364242953452774
ODE 3,1e-05,256,shishkin,central,0.23480905664180604
ODE 3,1e-05,256,shishkin,forward,1.0025676726527808
ODE 3,1e-05,256,shishkin,backward,1.002607860364004
ODE 3,1e-05,256,shishkin,upwind,0.057966937575180316
ODE 3,1e-05,256,bakhvalov,central,0.23668042830656408
ODE 3,1e-05,256,bakhvalov,forward,1.0025672374851162
ODE 3,1e-05,256,bakhvalov,backward,1.0022841412417365
ODE 3,1e-05,256,bakhvalov,upwind,0.05863083381963803
ODE 3,1e-05,512,uniform,central,0.012491424516528182
ODE 3,1e-05,512,uniform,forward,1.0103865114905266
ODE 3,1e-05,512,uniform,backward,1.0103865114906279
ODE 3,1e-05,512,uniform,upwind,0.03817925543547504
ODE 3,1e-05,512,shishkin,central,0.05801254345695939
ODE 3,1e-05,512,shishkin,forward,1.0051477390636154
ODE 3,1e-05,512,shishkin,backward,1.0051881277568506
ODE 3,1e-05,512,shishkin,upwind,0.063080106017248
ODE 3,1e-05,512,bakhvalov,central,0.058242940110635466
ODE 3,1e-05,512,bakhvalov,forward,1.0051467147730742
ODE 3,1e-05,512,bakhvalov,backward,1.00501331500434
ODE 3,1e-05,512,bakhvalov,upwind,0.062268842919206646
ODE 3,1e-06,8,uniform,central,1464.6406334990247
ODE 3,1e-06,8,uniform,forward,1.0000213335609496
ODE 3,1e-06,8,uniform,backward,1.00002133356095
ODE 3,1e-06,8,uniform,upwind,3.199692831672367e-05
ODE 3,1e-06,8,shishkin,central,0.0016539091814899987
ODE 3,1e-06,8,shishkin,forward,0.5897697759122357
ODE 3,1e-06,8,shishkin,backward,0.5898199086278048
ODE 3,1e-06,8,shishkin,upwind,0.001654456280246075
ODE 3,1e-06,8,bakhvalov,central,0.6189730253376409
ODE 3,1e-06,8,bakhvalov,forward,0.00558433534686692
ODE 3,1e-06,8,bakhvalov,backward,1.0072794319362306
ODE 3,1e-06,8,bakhvalov,upwind,0.11766972145649152
ODE 3,1e-06,16,uniform,central,291.1338856615322
ODE 3,1e-06,16,uniform,forward,1.000036572543167
ODE 3,1e-06,16,uniform,backward,1.0000365725431672
ODE 3,1e-06,16,uniform,upwind,0.00012795086826394267
ODE 3,1e-06,16,shishkin,central,0.9994809748388325
ODE 3,1e-06,16,shishkin,forward,1.0000179994286484
ODE 3,1e-06,16,shishkin,backward,1.0000207673531771
ODE 3,1e-06,16,shishkin,upwind,0.05334061647685434
ODE 3,1e-06,16,bakhvalov,central,0.9995523891517721
ODE 3,1e-06,16,bakhvalov,forward,1.00001799951597
ODE 3,1e-06,16,bakhvalov,backward,1.0003910106033165
ODE 3,1e-06,16,bakhvalov,upwind,0.06238603340090765
ODE 3,1e-06,32,uniform,central,60.2311949895156
ODE 3,1e-06,32,uniform,forward,1.0000682709944013
ODE 3,1e-06,32,uniform,backward,1.0000682709944022
ODE 3,1e-06,32,uniform,upwind,0.0005112148632581137
ODE 3,1e-06,32,shishkin,central,0.997438704358715
ODE 3,1e-06,32,shishkin,forward,1.0000326678977915
ODE 3,1e-06,32,shishkin,backward,1.0000365074522688
ODE 3,1e-06,32,shishkin,upwind,0.02976098548376438
ODE 3,1e-06,32,bakhvalov,central,0.9976264849345001
ODE 3,1e-06,32,bakhvalov,forward,1.0000326676565026
ODE 3,1e-06,32,bakhvalov,backward,0.9973067646787146
ODE 3,1e-06,32,bakhvalov,upwind,0.032386229251650744
ODE 3,1e-06,64,uniform,central,12.76130106360842
ODE 3,1e-06,64,uniform,forward,1.0001321459105645
ODE 3,1e-06,64,uniform,backward,1.000132145910565
ODE 3,1e-06,64,uniform,upwind,0.0020354995687567453
ODE 3,1e-06,64,shishkin,central,0.9881064714523589
ODE 3,1e-06,64,shishkin,forward,1.0000642905224524
ODE 3,1e-06,64,shishkin,backward,1.00006816634807
ODE 3,1e-06,64,shishkin,upwind,0.017358845297974268
ODE 3,1e-06,64,bakhvalov,central,0.9885502416015441
ODE 3,1e-06,64,bakhvalov,forward,1.0000642898277805
ODE 3,1e-06,64,bakhvalov,backward,0.9999592487679445
ODE 3,1e-06,64,bakhvalov,upwind,0.01647799732166705
ODE 3,1e-06,128,uniform,central,2.7095610546161497
ODE 3,1e-06,128,uniform,forward,1.0002601300512681
ODE 3,1e-06,128,uniform,backward,1.0002601300512688
ODE 3,1e-06,128,uniform,upwind,0.007995848376615971
ODE 3,1e-06,128,shishkin,central,0.9475514537319488
ODE 3,1e-06,128,shishkin,forward,1.0001281515918945
ODE 3,1e-06,128,shishkin,backward,1.0001321436626167
ODE 3,1e-06,128,shishkin,upwind,0.01084559737433144
ODE 3,1e-06,128,bakhvalov,central,0.9485132074247395
ODE 3,1e-06,128,bakhvalov,forward,1.0001281498067784
ODE 3,1e-06,128,bakhvalov,backward,1.0005681038408853
ODE 3,1e-06,128,bakhvalov,upwind,0.008578888906796145
ODE 3,1e-06,256,uniform,central,0.574621561371145
ODE 3,1e-06,256,uniform,forward,1.0005162958064948
ODE 3,1e-06,256,uniform,backward,1.0005162958064924
ODE 3,1e-06,256,uniform,upwind,0.029806966222440723
ODE 3,1e-06,256,shishkin,central,0.7932186921038595
ODE 3,1e-06,256,shishkin,forward,1.00025613461757
ODE 3,1e-06,256,shishkin,backward,1.0002601491738017
ODE 3,1e-06,256,shishkin,upwind,0.007915436580658798
ODE 3,1e-06,256,bakhvalov,central,0.7945057431050593
ODE 3,1e-06,256,bakhvalov,forward,1.0002561302868394
ODE 3,1e-06,256,bakhvalov,backward,1.0000878211754216
ODE 3,1e-06,256,bakhvalov,upwind,0.007929067711864999
ODE 3,1e-06,512,uniform,central,0.15329245712300799
ODE 3,1e-06,512,uniform,forward,1.0010290694208568
ODE 3,1e-06,512,uniform,backward,1.0010290694208541
ODE 3,1e-06,512,uniform,upwind,0.06935383459233246
ODE 3,1e-06,512,shishkin,central,0.45195890264221206
ODE 3,1e-06,512,shishkin,forward,1.0005123046460502
ODE 3,1e-06,512,shishkin,backward,1.0005162691527483
ODE 3,1e-06,512,shishkin,upwind,0.029534068090308525
ODE 3,1e-06,512,bakhvalov,central,0.45346780388097024
ODE 3,1e-06,512,bakhvalov,forward,1.0005122944997622
ODE 3,1e-06,512,bakhvalov,backward,1.0006517370140422
ODE 3,1e-06,512,bakhvalov,upwind,0.029671744565602304
ODE 3,1e-07,8,uniform,central,14648.234375849988
ODE 3,1e-07,8,uniform,forward,1.000002133335609
ODE 3,1e-07,8,uniform,backward,1.000002133335609
ODE 3,1e-07,8,uniform,upwind,3.199969280316756e-06
ODE 3,1e-07,8,shishkin,central,0.0005546025150323097
ODE 3,1e-07,8,shishkin,forward,0.5886934321468034
